"type","sku","name","description","regular_price","categories","images","grouped_products","attribute_1_name","attribute_1_values","attribute_2_name","attribute_2_values","attribute_3_name","attribute_3_values","maintance"
"variation","#TIENICHZZZ","Nệm Tiện Ích ZZZ","
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",3110000,"Sản phẩm mới","https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-8.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-9.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-10.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-11.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-12.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-13.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-14.png","#TIENICHZZZ","attribute_pa_chat-lieu","vai-gam-damask","attribute_pa_do-day","5-cm","attribute_pa_kich-thuoc","","3 năm"
"variation","#TIENICHZZZ","Nệm Tiện Ích ZZZ","
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",3640000,"Sản phẩm mới","https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-8.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-9.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-10.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-11.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-12.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-13.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-14.png","#TIENICHZZZ","attribute_pa_chat-lieu","vai-gam-damask","attribute_pa_do-day","5-cm","attribute_pa_kich-thuoc","","3 năm"
"variation","#TIENICHZZZ","Nệm Tiện Ích ZZZ","
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",4020000,"Sản phẩm mới","https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-8.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-9.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-10.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-11.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-12.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-13.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-14.png","#TIENICHZZZ","attribute_pa_chat-lieu","vai-gam-damask","attribute_pa_do-day","5-cm","attribute_pa_kich-thuoc","","3 năm"
"variation","#TIENICHZZZ","Nệm Tiện Ích ZZZ","
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",4500000,"Sản phẩm mới","https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-8.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-9.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-10.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-11.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-12.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-13.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-14.png","#TIENICHZZZ","attribute_pa_chat-lieu","vai-gam-damask","attribute_pa_do-day","5-cm","attribute_pa_kich-thuoc","","3 năm"
"variation","#TIENICHZZZ","Nệm Tiện Ích ZZZ","
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",4990000,"Sản phẩm mới","https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-8.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-9.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-10.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-11.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-12.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-13.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-14.png","#TIENICHZZZ","attribute_pa_chat-lieu","vai-gam-damask","attribute_pa_do-day","5-cm","attribute_pa_kich-thuoc","","3 năm"
"variation","#TIENICHZZZ","Nệm Tiện Ích ZZZ","
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",4260000,"Sản phẩm mới","https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-8.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-9.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-10.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-11.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-12.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-13.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-14.png","#TIENICHZZZ","attribute_pa_chat-lieu","vai-gam-damask","attribute_pa_do-day","7-5-cm","attribute_pa_kich-thuoc","","3 năm"
"variation","#TIENICHZZZ","Nệm Tiện Ích ZZZ","
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",5270000,"Sản phẩm mới","https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-8.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-9.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-10.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-11.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-12.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-13.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-14.png","#TIENICHZZZ","attribute_pa_chat-lieu","vai-gam-damask","attribute_pa_do-day","7-5-cm","attribute_pa_kich-thuoc","","3 năm"
"variation","#TIENICHZZZ","Nệm Tiện Ích ZZZ","
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",5650000,"Sản phẩm mới","https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-8.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-9.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-10.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-11.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-12.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-13.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-14.png","#TIENICHZZZ","attribute_pa_chat-lieu","vai-gam-damask","attribute_pa_do-day","7-5-cm","attribute_pa_kich-thuoc","","3 năm"
"variation","#TIENICHZZZ","Nệm Tiện Ích ZZZ","
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",6540000,"Sản phẩm mới","https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-8.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-9.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-10.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-11.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-12.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-13.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-14.png","#TIENICHZZZ","attribute_pa_chat-lieu","vai-gam-damask","attribute_pa_do-day","7-5-cm","attribute_pa_kich-thuoc","","3 năm"
"variation","#TIENICHZZZ","Nệm Tiện Ích ZZZ","
				<div class=""component-left"">
					<div class=""component-box"">
						<h3 class=""title"">Giới thiệu sản phẩm</h3>
						<div class=""content"">
													</div>
					</div>
				</div>
				<div class=""component-right"">
					<div class=""component-box"">
						<h3 class=""title"">
							Thông số kỹ thuật						</h3>
						<div class=""technical_data"">
							<div class=""content"">
															</div>
						</div>
					</div>
				</div>
			",7130000,"Sản phẩm mới","https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-8.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-9.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-10.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-11.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-12.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-13.png,https://nemvanthanh.vn/wp-content/uploads/2022/04/nem-tien-ich-14.png","#TIENICHZZZ","attribute_pa_chat-lieu","vai-gam-damask","attribute_pa_do-day","7-5-cm","attribute_pa_kich-thuoc","","3 năm"
